class_code,generation,group_number,group_master,on_offline,group_leave,leave_point,avg_point_m1,avg_point_m2,avg_point_m1m2,delta_m2_m1,avg_point_all,months_observed,group_size,age_sd,age_range,job_domain_cnt,major_cnt,has_leader
4,11,11,False,오프라인,False,해당없음,3.4,-0.6,1.4,-4.0,0.7333333333,3.0,3,2.081665999,4.0,1,3,True
6,9,3,False,오프라인,False,해당없음,1.2,1.6,1.4,0.4,1.675,4.0,6,1.940790217,5.0,1,4,True
6,10,3,False,오프라인,False,해당없음,2.4,1.6,2.0,-0.8,2.35,4.0,5,4.242640687,6.0,1,2,True
13,9,1,True,오프라인,False,해당없음,1.6,3.0,2.3,1.4,1.95,4.0,6,2.926886856,8.0,1,5,True
6,8,14,False,온라인,False,해당없음,2.116,2.4,2.258,0.284,1.629,4.0,6,1.516575089,4.0,1,3,True
6,8,13,False,온라인,False,해당없음,1.0,1.25,1.125,0.25,0.8625,4.0,5,1.923538406,5.0,1,3,True
4,8,4,True,오프라인,False,해당없음,1.2,1.67,1.435,0.47,1.155,4.0,6,0.8164965809,2.0,1,1,True
4,8,5,False,오프라인,False,해당없음,0.83,3.2,2.015,2.37,1.519,4.0,6,1.505545305,4.0,1,3,True
4,9,15,False,오프라인,False,해당없음,1.8,1.2,1.5,-0.6,0.975,4.0,4,1.154700538,2.0,1,2,True
12,11,2,False,오프라인,False,해당없음,2.3,2.6,2.45,0.3,1.433333333,3.0,4,0.9574271078,2.0,1,2,True
11,9,4,False,오프라인,False,해당없음,1.2,1.2,1.2,0.0,1.225,4.0,4,0.8164965809,2.0,1,3,True
11,9,4,False,오프라인,False,해당없음,1.2,1.2,1.2,0.0,1.225,4.0,4,0.8164965809,2.0,1,3,True
2,9,8,False,오프라인,False,해당없음,2.8,4.0,3.4,1.2,1.45,4.0,5,1.707825128,4.0,1,3,True
16,11,2,False,오프라인,False,해당없음,3.6,4.4,4.0,0.8,2.466666667,3.0,2,0.7071067812,1.0,1,2,True
4,8,16,True,온라인,False,해당없음,0.9,0.8,0.85,-0.1,0.425,4.0,6,2.863564213,7.0,1,5,True
2,11,2,False,온라인,False,해당없음,3.0,4.0,3.5,1.0,3.0,3.0,5,2.167948339,5.0,1,5,True
5,11,1,True,오프라인,False,해당없음,3.3,5.2,4.25,1.9,2.633333333,3.0,5,0.894427191,2.0,1,5,True
3,10,16,False,온라인,False,해당없음,1.0,-0.5,0.25,-1.5,-0.125,4.0,4,0.5,1.0,1,4,True
1,8,2,True,온라인,False,해당없음,1.0,0.55,0.775,-0.45,0.3875,4.0,4,0.9574271078,2.0,1,3,True
1,8,8,False,온라인,False,해당없음,1.166,1.46,1.313,0.294,0.994,4.0,6,1.366260102,4.0,1,3,True
2,10,12,False,온라인,False,해당없음,1.2,-0.5,0.35,-1.7,-0.075,4.0,5,0.8366600265,2.0,1,5,True
1,8,4,False,온라인,False,해당없음,1.0,1.0,1.0,0.0,0.86875,4.0,4,1.154700538,2.0,1,4,True
2,11,4,True,오프라인,False,해당없음,3.6,4.0,3.8,0.4,2.333333333,3.0,4,1.154700538,2.0,2,4,True
2,11,7,False,온라인,False,해당없음,4.1,4.4,4.25,0.3,2.633333333,3.0,4,0.9574271078,2.0,1,4,True
12,11,7,False,오프라인,False,해당없음,3.6,5.6,4.6,2.0,2.866666667,3.0,6,1.303840481,3.0,1,5,True
12,11,9,False,온라인,False,해당없음,3.6,6.0,4.8,2.4,5.2,3.0,4,2.581988897,6.0,2,4,True
11,11,3,True,온라인,False,해당없음,3.0,4.0,3.5,1.0,3.0,3.0,3,2.645751311,5.0,3,3,True
6,8,13,True,온라인,False,해당없음,1.0,1.25,1.125,0.25,0.8625,4.0,5,1.923538406,5.0,1,3,True
10,10,3,False,오프라인,False,해당없음,1.0,1.8,1.4,0.8,1.4,3.0,4,1.154700538,2.0,1,4,True
5,9,1,True,오프라인,False,해당없음,1.8,2.8,2.3,1.0,1.8,4.0,5,2.061552813,4.0,1,3,True
2,9,7,False,오프라인,True,확인 불가,1.4,1.4,1.4,0.0,1.675,4.0,4,1.914854216,4.0,1,2,True
12,10,1,False,오프라인,False,해당없음,,,,,,,4,,,0,0,True
3,10,6,False,온라인,False,해당없음,-0.5,-0.5,-0.5,0.0,-0.5,4.0,5,1.516575089,4.0,1,4,True
4,9,18,False,온라인,False,해당없음,1.2,1.4,1.3,0.2,1.725,4.0,6,2.714160398,6.0,1,2,True
